COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS
K441385000,8,1,2.23,1.79
K441385000,8,2,1.81,1.49
K441385000,8,3,1.49,1.24
K441385000,8,4,1.24,1.05
K441385000,8,5,1.03,0.87
K441385000,8,6,0.86,0.72
K441385000,8,7,0.72,0.64
K441385000,8,8,0.63,0.53
K450687000,8,2,1.8,1.49
K450687000,8,3,1.5,1.25
K450687000,8,4,1.25,1.04
K450687000,8,5,1.04,0.86
K450687000,8,6,0.86,0.72
K450687000,8,7,0.74,0.61
K450687000,8,8,0.62,0.52
K450742000,8,2,1.81,1.52
K450742000,8,3,1.5,1.25
K450742000,8,4,1.25,1.04
K450742000,8,5,1.04,0.86
K450742000,8,6,0.87,0.73
K450742000,8,8,0.53,0.6
K450598000,5,3,3.91,3.6
K450598000,5,4,3.59,3.31
K450598000,5,5,3.31,3.12
K451022000,6,3,1.88,1.54
K451022000,6,4,1.51,1.21
K451022000,6,5,1.25,1
K451022000,6,6,0.99,0.8
K451059000,6,3,1.87,1.55
K451059000,6,4,1.53,1.23
K451059000,6,5,1.24,0.99
K451059000,6,6,1,0.79
K451183000,7,2,2.29,1.9
K451183000,7,3,1.91,1.63
K451183000,7,4,1.6,1.32
K451183000,7,5,1.32,1.1
K451183000,7,6,1.11,0.94
K451183000,7,7,0.93,0.79
K450905000,7,2,2.28,1.92
K450905000,7,3,1.93,1.6
K450905000,7,4,1.59,1.32
K450905000,7,5,1.34,1.12
K450905000,7,6,1.1,0.92
K450905000,7,7,0.92,0.77
K451250000,7,2,2.29,1.9
K451250000,7,3,1.91,1.59
K451250000,7,4,1.58,1.32
K451250000,7,5,1.31,1.09
K451250000,7,6,1.09,0.92
K451250000,7,7,0.91,0.77
K442214000,4,2,1.46,1.08
K442214000,4,3,1.09,0.79
K442214000,4,4,0.79,0.58
K451538000,5,2,1.46,1.09
K451538000,5,3,1.09,0.78
K451538000,5,4,0.78,0.57
K451538000,5,5,0.57,0.41
K451069000,6,2,1.52,1.19
K451069000,6,3,1.18,0.9
K451069000,6,4,0.89,0.67
K451069000,6,6,0.38,0.5
K450761000,5,2,1.46,1.08
K450761000,5,3,1.08,0.79
K450761000,5,4,0.79,0.58
K450761000,5,5,0.57,0.41
K450887000,5,2,1.63,1.22
K450887000,5,3,1.22,0.89
K450887000,5,4,0.89,0.65
K442128000,5,2,1.15,1.46
K442128000,5,3,1.05,0.76
K442128000,5,4,0.76,0.54
K442128000,5,5,0.54,0.39
K450748000,5,2,1.65,1.26
K450748000,5,3,1.26,0.94
K450748000,5,4,0.94,0.7
K450748000,5,5,0.7,0.53
K440727000,6,2,1.52,1.18
K440727000,6,3,1.18,0.91
K440727000,6,4,0.91,0.69
K440727000,6,5,0.53,0.69
K440727000,6,6,0.53,0.4
K451222000,7,2,1.33,1.67
K451222000,7,3,1.29,0.98
K451222000,7,4,0.99,0.75
K451222000,7,5,0.74,0.56
K451222000,7,6,0.56,0.43
K451014000,5,2,1.46,1.09
K451014000,5,3,1.09,0.8
K451014000,5,4,0.8,0.58
K451014000,5,5,0.57,0.42
K451031000,5,2,1.51,1.28
K451031000,5,3,1.09,0.8
K451031000,5,5,0.58,0.42
K451503000,5,3,0.8,1.09
K451503000,5,4,0.79,0.58
K451503000,5,5,0.58,0.42
K450929000,5,2,1.12,1.46
K450929000,5,3,1.08,0.79
K450929000,5,4,0.79,0.57
K450929000,5,5,0.58,0.42
K451819000,0,1,2.23,1.71
K451819000,6,2,1.69,1.32
K451819000,6,3,1.31,1
K451819000,6,4,1,0.77
K451819000,6,5,0.77,0.59
K451819000,6,6,0.59,0.45
K450888000,6,2,1.68,1.31
K450888000,6,3,1.31,1
K450888000,6,4,1,0.77
K450888000,6,5,0.77,0.59
K450888000,6,6,0.59,0.45
K450151000,5,1,5.2,4.75
K450151000,5,2,4.51,4.38
K450151000,5,3,4.18,4.05
K450151000,5,5,3.56,3.43
K451166000,9,2,1.84,1.73
K451166000,9,4,1.34,1.29
K451166000,9,5,1.13,1.13
K451166000,9,6,1.01,0.99
K451166000,9,7,0.85,0.88
K451166000,9,8,0.77,0.78
K451166000,9,9,0.68,0.71
K451058000,9,1,2.24,2.02
K451058000,9,2,1.86,1.73
K451058000,9,3,1.54,1.3
K451058000,9,4,1.33,1.11
K451058000,9,5,1.15,1.13
K451058000,9,6,1.04,0.99
K451058000,9,7,0.88,0.88
K451058000,9,8,0.81,0.78
K451058000,9,9,0.71,0.71
K450592000,9,2,2.53,2.36
K450592000,9,3,2.2,2.08
K450592000,9,4,1.95,1.85
K450592000,9,6,1.6,1.52
K450592000,9,7,1.43,1.39
K450592000,9,8,1.34,1.28
K450592000,9,9,1.17,1.18
K442198000,9,1,2.99,2.72
K442198000,9,2,2.52,2.34
K442198000,9,4,1.88,1.8
K442198000,9,6,1.48,1.45
K442198000,9,8,1.24,1.21
K442198000,9,9,1.12,1.12
K450554000,10,1,4.8,4.2
K450554000,10,3,3.54,3.35
K450554000,10,4,3.21,3
K450554000,10,5,2.84,2.7
K450554000,10,9,1.95,1.87
K432139000,7,1,5.2,4.25
K432139000,7,2,4.19,3.6
K432139000,7,3,3.52,3.14
K432139000,7,4,3.14,2.71
K432139000,7,5,2.56,2.37
K432139000,7,6,2.71,2.37
K432139000,7,7,1.98,1.86
K450832000,8,1,3.25,2.6
K450832000,8,4,1.76,1.53
K450832000,8,5,1.45,1.29
K450832000,8,7,1.05,0.92
K450832000,8,8,0.87,0.8
K431391000,6,1,5.2,4.4
K431391000,6,2,4.19,3.77
K431391000,6,3,3.53,3.27
K431391000,6,4,3.1,2.85
K431391000,6,5,2.66,2.5
K431391000,6,6,2.41,2.22
K450463000,8,2,2.55,2.17
K450463000,8,4,1.72,1.43
K450463000,8,7,0.89,0.82
K450463000,8,8,0.74,0.7
K441841000,8,1,2.2,1.92
K441841000,8,2,1.76,1.64
K441841000,8,4,1.25,1.01
K441841000,8,5,1.1,1.05
K441841000,8,6,0.98,0.9
K441841000,8,7,0.83,0.79
K441841000,8,8,0.69,0.71
K431433000,6,1,5.2,4.23
K431433000,6,3,3.59,3.27
K431433000,6,4,3.11,2.85
K431433000,6,5,2.69,2.5
K440220000,7,1,5.2,4.4
K440220000,7,2,4.23,3.77
K440220000,7,3,3.54,3.23
K440220000,7,4,3.15,2.77
K440220000,7,5,3.09,2.77
K452068000,6,3,1.2,0.93
K452068000,6,4,0.93,0.72
K452068000,6,5,0.72,0.55
K452068000,6,6,0.55,0.42
K460022000,6,1,2,1.64
K460022000,6,2,1.54,1.2
K460022000,6,3,0.93,1.2
K460022000,6,4,0.93,0.72
K460022000,6,6,0.42,0.54
K460015000,5,1,2.14,1.46
K460015000,5,2,1.45,1.07
K460015000,5,3,1.07,0.78
K460015000,5,4,0.78,0.56
K451074000,0,1,2.04,1.53
K451074000,5,2,1.48,1.12
K451074000,5,3,1.11,0.83
K451074000,5,4,0.83,0.61
K451074000,5,5,0.6,0.45
K451722000,5,1,2.03,1.5
K451722000,5,2,1.49,1.12
K451722000,5,3,1.11,0.83
K451722000,5,4,0.83,0.61
K451114000,5,1,2.01,1.51
K451114000,5,2,1.5,1.17
K451114000,5,3,1.15,0.86
K451114000,5,4,0.86,0.66
K451114000,5,5,0.66,0.51
K451103000,5,1,2.02,1.51
K451103000,5,2,1.5,1.14
K451103000,5,3,1.14,0.87
K451103000,5,4,0.85,0.66
K451103000,5,5,0.66,0.51
K451121000,5,1,2.01,1.54
K451121000,5,2,1.52,1.23
K451121000,5,3,1.2,0.92
K451121000,5,4,0.93,0.7
K451121000,5,5,0.7,0.54
K451079000,0,1,2.05,1.51
K451079000,0,2,1.06,1.44
K451079000,0,3,1.05,0.76
K451079000,0,4,0.54,0.75
K451079000,0,5,0.55,0.4
K451063000,5,1,2.02,1.45
K451063000,5,2,1.44,1.05
K451063000,5,3,1.04,0.75
K451063000,5,4,0.76,0.55
K451063000,5,5,0.54,0.4
K460556000,6,1,2.05,1.51
K460556000,6,2,1.49,1.12
K460556000,6,3,1.11,0.84
K460556000,6,4,0.84,0.63
K460556000,6,5,0.63,0.47
K460556000,6,6,0.46,0.34
K451108000,5,1,2.02,1.49
K451108000,5,2,1.5,1.14
K451108000,5,3,1.12,0.83
K451108000,5,4,0.83,0.62
K451108000,5,5,0.61,0.45
K460548000,6,1,2.06,1.5
K460548000,6,2,1.48,1.12
K460548000,6,3,1.11,0.84
K460548000,6,4,0.83,0.62
K460548000,6,5,0.63,0.47
K460548000,6,6,0.46,0.34
K441941000,5,1,2.03,1.45
K441941000,5,2,1.44,1.05
K441941000,5,3,1.05,0.76
K441941000,5,4,0.76,0.55
K460562000,0,1,2,1.61
K460562000,6,2,1.48,1.11
K460562000,6,3,1.11,0.83
K460562000,6,4,0.83,0.63
K460562000,6,5,0.62,0.46
K460562000,6,6,0.46,0.34
K452018000,8,1,4.8,4.09
K452018000,8,2,4.08,3.64
K452018000,8,3,3.64,3.25
K452018000,8,4,3.22,2.87
K452018000,8,5,2.58,2.87
K452018000,8,6,2.55,2.27
K452018000,8,7,2.27,2.01
K452018000,8,8,2.01,1.78
K460721000,8,1,3.03,2.56
K460721000,8,2,2.55,2.21
K460721000,8,3,2.2,1.91
K460721000,8,4,1.92,1.67
K460721000,8,5,1.66,1.44
K460721000,8,6,1.46,1.27
K460721000,8,7,1.27,1.11
K460721000,8,8,1.11,0.99
K460188000,8,1,2.82,2.35
K460188000,8,2,2.35,2.01
K460188000,8,3,2.03,1.72
K460188000,8,4,1.71,1.46
K460188000,8,5,1.47,1.26
K460188000,8,6,1.25,1.08
K460188000,8,7,1.08,0.94
K460188000,8,8,0.94,0.83
K461098000,8,1,2.87,2.35
K461098000,8,2,2.35,2.01
K461098000,8,3,2,1.71
K461098000,8,4,1.71,1.46
K461098000,8,5,1.46,1.26
K461098000,8,6,1.25,1.07
K461098000,8,7,1.08,0.94
K461098000,8,8,0.93,0.82
K460983000,5,1,1.99,1.52
K460983000,5,2,1.48,1.11
K460983000,5,3,1.11,0.83
K460983000,5,4,0.83,0.61
K460983000,5,5,0.61,0.45
K440910100,5,1,2.04,1.45
K440910100,5,3,0.78,1.07
K440910100,5,4,0.78,0.56
K460763000,6,1,1.99,1.57
K460763000,6,2,1.57,1.25
K460763000,6,3,1.23,0.96
K460763000,6,4,0.97,0.76
K460763000,6,5,0.75,0.58
K460763000,6,6,0.58,0.45
K451276000,6,1,2.01,1.57
K451276000,6,2,1.56,1.24
K451276000,6,3,1.23,0.97
K451276000,6,4,0.97,0.76
K451276000,6,5,0.76,0.59
K451276000,6,6,0.58,0.45
K460842000,6,1,2.01,1.57
K460842000,6,2,1.56,1.25
K460842000,6,3,1.24,0.97
K460842000,6,4,0.97,0.75
K460842000,6,5,0.75,0.59
K460842000,6,6,0.58,0.45
K461026000,5,1,2.05,1.49
K461026000,5,2,1.48,1.12
K461026000,5,3,1.12,0.84
K461026000,5,4,0.83,0.6
K461026000,5,5,0.61,0.45
K460848000,5,1,2.01,1.49
K460848000,5,2,1.48,1.12
K460848000,5,3,1.12,0.84
K460848000,5,4,0.83,0.61
K460848000,5,5,0.61,0.45
K461210000,5,1,2.05,1.49
K461210000,5,2,1.48,1.12
K461210000,5,3,1.12,0.84
K461210000,5,4,0.83,0.6
K461210000,5,5,0.61,0.45
K460773000,5,1,2.03,1.48
K460773000,5,2,1.48,1.11
K460773000,5,3,1.11,0.83
K460773000,5,4,0.83,0.61
K460773000,5,5,0.61,0.45
K461097000,8,1,2.23,1.74
K461097000,8,3,1.15,1.4
K461097000,8,4,1.14,0.97
K461097000,8,5,0.97,0.82
K461097000,8,6,0.82,0.7
K461097000,8,7,0.7,0.59
K461097000,8,8,0.59,0.51
K461189000,8,1,2.28,1.73
K461189000,8,2,1.72,1.39
K461189000,8,3,1.4,1.14
K461189000,8,4,1.14,0.97
K461189000,8,5,0.97,0.82
K461189000,8,6,0.82,0.7
K461189000,8,7,0.7,0.59
K461189000,8,8,0.59,0.52
K461537000,8,1,2.27,1.74
K461537000,8,2,1.72,1.39
K461537000,8,3,1.39,1.14
K461537000,8,4,1.14,0.96
K461537000,8,5,0.97,0.82
K461537000,8,6,0.82,0.7
K461537000,8,7,0.7,0.59
K460859100,5,1,2.06,1.47
K460859100,5,2,1.47,1.08
K460859100,5,3,1.08,0.78
K460859100,5,4,0.77,0.56
K460859100,5,5,0.56,0.41
K460854100,6,1,2.23,1.67
K460854100,6,2,1.65,1.26
K460854100,6,3,1.26,0.96
K460854100,6,4,0.95,0.72
K460854100,6,5,0.72,0.54
K460854100,6,6,0.53,0.4
K461710000,5,1,2.08,1.49
K461710000,5,2,1.48,1.12
K461710000,5,3,1.12,0.83
K440220000,7,7,1.93,1.82
K450941000,8,1,3.4,2.72
K450941000,8,2,2.56,2.23
K450941000,8,3,2.06,1.84
K450941000,8,4,1.72,1.53
K450941000,8,5,1.4,1.29
K450941000,8,6,1.18,1.08
K450941000,8,7,0.97,0.92
K450941000,8,8,0.81,0.8
K441836000,7,1,2.2,1.76
K441836000,7,3,1.29,1.26
K441836000,7,4,1.11,1.07
K441836000,7,5,0.92,0.93
K441836000,7,6,0.83,0.8
K441836000,7,7,0.67,0.71
K450483000,7,1,3.4,2.63
K450483000,7,2,2.55,2.07
K450483000,7,3,1.9,1.64
K450483000,7,4,1.63,1.3
K450483000,7,5,1.19,1.05
K450483000,7,6,1.02,0.85
K450483000,7,7,0.76,0.7
K441849000,9,1,2.69,2.2
K450889000,6,1,2.36,1.95
K450889000,6,2,1.82,1.61
K450889000,6,3,1.4,1.32
K450889000,6,4,1.16,1.09
K450889000,6,5,0.91,0.91
K450889000,6,6,0.78,0.76
K451340000,6,1,2.4,1.94
K451073000,6,1,2.18,1.74
K451073000,6,2,1.55,1.4
K451073000,6,4,0.98,0.93
K451073000,6,6,0.67,0.64
K441383000,8,2,1.6,1.3
K441383000,8,3,1.3,1.07
K441383000,8,4,1.07,0.89
K441383000,8,5,0.88,0.75
K441383000,8,6,0.75,0.64
K441383000,8,7,0.64,0.57
K441383000,8,8,0.57,0.51
K441894000,8,1,2.19,1.73
K441894000,8,2,1.72,1.4
K441894000,8,3,1.4,1.15
K441894000,8,4,1.15,0.97
K441894000,8,5,0.97,0.83
K441894000,8,6,0.71,0.83
K441894000,8,7,0.7,0.6
K441894000,8,8,0.6,0.52
K460023000,6,1,2.1,1.55
K460023000,6,2,1.53,1.19
K460023000,6,3,1.18,0.92
K460023000,6,4,0.92,0.7
K460023000,6,5,0.7,0.54
K460023000,6,6,0.54,0.42
K451802000,6,1,2.08,1.54
K451802000,6,2,1.54,1.21
K451802000,6,3,1.2,0.94
K451802000,6,4,0.94,0.73
K451802000,6,5,0.73,0.56
K451802000,6,6,0.55,0.42
K460021000,6,1,2.03,1.53
K460021000,6,2,1.53,1.19
K460021000,6,3,1.18,0.91
K460021000,6,4,0.91,0.71
K460021000,6,5,0.7,0.54
K460021000,6,6,0.54,0.42
K451459000,6,1,2.01,1.53
K451459000,6,2,1.53,1.19
K451459000,6,4,0.9,0.69
K451459000,6,5,0.69,0.52
K451459000,6,6,0.52,0.4
K451957000,5,1,2.01,1.46
K451957000,5,2,1.45,1.07
K451957000,5,3,1.07,0.77
K451957000,5,4,0.77,0.56
K451957000,5,5,0.56,0.4
K451897000,6,1,2.23,1.66
K451897000,6,2,1.65,1.27
K451897000,6,3,1.26,0.95
K451897000,6,4,0.95,0.71
K451897000,6,5,0.71,0.53
K451897000,6,6,0.53,0.4
K452015000,5,1,2.08,1.48
K452015000,5,2,1.45,1.07
K452015000,5,4,0.77,0.56
K452015000,5,5,0.56,0.4
K451003000,5,1,2.03,1.53
K451003000,5,2,1.52,1.21
K451003000,5,3,1.2,0.93
K451003000,5,4,0.93,0.72
K451003000,5,5,0.55,0.72
K452068000,6,1,2.02,1.55
K452068000,6,2,1.54,1.2
K461710000,5,5,0.46,0.62
K460960000,0,1,2.82,2.4
K460960000,0,2,2,2.34
K460960000,0,3,1.98,1.68
K460960000,0,4,1.43,1.69
K460960000,0,5,1.44,1.21
K460960000,0,6,1.03,1.21
K460960000,0,7,1.03,0.89
K460578000,8,1,2.47,2.1
K460578000,8,2,2.09,1.77
K460578000,8,3,1.76,1.53
K460578000,8,4,1.51,1.3
K460578000,8,5,1.3,1.11
K460578000,8,6,1.11,0.96
K460578000,8,7,0.96,0.83
K460578000,8,8,0.82,0.72
K461979000,7,1,2.97,2.56
K461979000,7,2,2.55,2.2
K461979000,7,3,2.21,1.92
K461979000,7,4,1.9,1.67
K461979000,7,5,1.66,1.46
K461979000,7,6,1.46,1.28
K461979000,7,7,1.28,1.12
K461327000,6,1,2.26,1.75
K461327000,6,2,1.76,1.4
K461327000,6,3,1.4,1.13
K461327000,6,4,1.13,0.91
K461327000,6,5,0.91,0.74
K461327000,6,6,0.73,0.62
K461579000,7,1,2.09,1.61
K461579000,7,2,1.6,1.3
K461579000,7,3,1.3,1.06
K461579000,7,4,1.06,0.87
K461579000,7,5,0.88,0.73
K461579000,7,6,0.73,0.61
K461579000,7,7,0.6,0.51
K460955000,8,1,2.21,1.73
K460955000,8,2,1.72,1.39
K460955000,8,3,1.39,1.14
K460955000,8,4,1.14,0.97
K460955000,8,5,0.97,0.83
K460955000,8,6,0.83,0.71
K460955000,8,7,0.7,0.59
K460955000,8,8,0.59,0.51
K461999000,7,1,3.02,2.49
K461999000,7,2,2.5,2.1
K461999000,7,3,2.09,1.78
K461999000,7,4,1.78,1.51
K461999000,7,5,1.51,1.29
K461999000,7,6,1.29,1.12
K461999000,7,7,1.12,0.98
K460949000,7,1,2.03,1.61
K460949000,7,4,1.06,0.88
K460949000,7,5,0.87,0.72
K460949000,7,6,0.73,0.61
K460949000,7,7,0.61,0.52
K460947000,7,1,2.07,1.61
K460947000,7,2,1.6,1.3
K460947000,7,3,1.3,1.07
K460947000,7,4,1.07,0.88
K460947000,7,5,0.88,0.73
K460947000,7,6,0.72,0.6
K460947000,7,7,0.6,0.51
K461105000,7,1,2.53,2.11
K461105000,7,2,2.09,1.78
K461105000,7,3,1.8,1.52
K461105000,7,4,1.52,1.3
K461105000,7,5,1.3,1.1
K461105000,7,6,1.1,0.94
K461105000,7,7,0.94,0.8
K452103000,7,1,3.22,2.46
K452103000,7,2,2.46,1.88
K452103000,7,3,1.89,1.46
K452103000,7,4,1.46,1.13
K452103000,7,5,1.13,0.87
K452103000,7,6,0.86,0.66
K452103000,7,7,0.66,0.51
K452024000,8,1,3.22,2.51
K452024000,8,2,2.5,1.98
K452024000,8,3,1.99,1.6
K452024000,8,4,1.58,1.26
K452024000,8,5,1.27,1
K452024000,8,6,1,0.8
K452024000,8,7,0.79,0.62
K452024000,8,8,0.63,0.51
K461006000,7,1,2.82,2.31
K461006000,7,2,2.29,1.92
K461006000,7,3,1.91,1.61
K461006000,7,4,1.61,1.34
K461006000,7,5,1.35,1.15
K461006000,7,6,1.14,0.97
K461006000,7,7,0.97,0.83
K461117000,8,1,2.84,2.32
K461117000,8,2,2.29,1.9
K470624000,6,2,2.28,1.87
K470624000,6,3,1.86,1.53
K470624000,6,4,1.54,1.26
K470624000,6,5,1.25,1.03
K470624000,6,6,1.03,0.86
K470127000,5,1,5.2,4.35
K470127000,5,2,4.35,3.94
K470127000,5,3,3.91,3.61
K470127000,5,4,3.59,3.3
K470127000,5,5,3.3,3.07
K470135000,5,1,5.2,4.5
K470135000,5,2,4.49,4.14
K470135000,5,3,4.13,3.81
K470135000,5,4,3.79,3.5
K470135000,5,5,3.5,3.23
K470614000,6,1,2.78,2.29
K470614000,6,2,2.31,1.93
K470614000,6,3,1.91,1.58
K470614000,6,4,1.57,1.29
K470614000,6,5,1.29,1.07
K470614000,6,6,1.06,0.87
K470687000,6,1,2.78,2.3
K470687000,6,2,2.3,1.9
K470687000,6,3,1.91,1.58
K470687000,6,4,1.58,1.29
K470687000,6,5,1.29,1.06
K470687000,6,6,1.05,0.86
K470169000,5,1,5.2,4.5
K470169000,5,2,4.5,4.14
K470169000,5,3,4.15,3.8
K470169000,5,4,3.8,3.5
K470169000,5,5,3.5,3.22
K470660000,6,1,2.79,2.29
K470660000,6,2,2.3,1.9
K470660000,6,3,1.91,1.57
K470660000,6,4,1.57,1.29
K470660000,6,5,1.29,1.06
K470660000,6,6,1.05,0.86
K470325000,5,1,2.21,1.69
K470325000,5,2,1.67,1.29
K470325000,5,3,1.29,0.99
K470325000,5,4,0.99,0.76
K470325000,5,5,0.75,0.58
K470623000,6,1,2.8,2.27
K470623000,6,2,2.27,1.86
K470623000,6,3,1.88,1.55
K470623000,6,4,1.54,1.27
K470623000,6,5,1.28,1.04
K470623000,6,6,1.04,0.86
K461308000,5,1,2.06,1.5
K461308000,5,2,1.48,1.13
K461308000,5,3,1.11,0.83
K461308000,5,4,0.83,0.61
K461308000,5,5,0.61,0.44
K461684000,9,1,3.03,2.54
K461684000,9,2,2.53,2.16
K461684000,9,3,2.15,1.85
K461684000,9,4,1.88,1.61
K461684000,9,5,1.62,1.41
K461684000,9,6,1.41,1.21
K461684000,9,7,1.22,1.07
K461684000,9,8,1.05,0.92
K461684000,9,9,0.93,0.83
K461741000,8,1,3.27,2.58
K461741000,8,2,2.57,2.11
K461741000,8,3,2.11,1.76
K461741000,8,4,1.75,1.48
K461741000,8,5,1.46,1.22
K461741000,8,6,1.22,1.01
K461741000,8,7,1.02,0.85
K461741000,8,8,0.85,0.72
K461089000,8,1,2.56,2.05
K461089000,8,2,2.03,1.74
K461089000,8,3,1.72,1.47
K461089000,8,4,1.46,1.26
K461089000,8,5,1.26,1.09
K461089000,8,6,1.1,0.94
K461089000,8,7,0.94,0.82
K461089000,8,8,0.82,0.72
K470720000,6,1,2.78,2.31
K470720000,6,2,2.31,1.93
K470720000,6,3,1.92,1.6
K470720000,6,4,1.6,1.33
K470720000,6,5,1.33,1.08
K470720000,6,6,1.08,0.88
K470800000,6,1,2.77,2.3
K470800000,6,2,2.3,1.92
K470800000,6,3,1.92,1.59
K470800000,6,4,1.59,1.33
K470800000,6,5,1.32,1.08
K470800000,6,6,1.08,0.89
K471191000,4,1,2.81,2.36
K471191000,4,2,2.33,1.98
K471191000,4,3,1.98,1.67
K471191000,4,4,1.66,1.4
K470787000,6,1,2.78,2.31
K470787000,6,2,2.31,1.93
K470787000,6,3,1.93,1.6
K470787000,6,4,1.6,1.33
K470787000,6,5,1.33,1.08
K470787000,6,6,1.09,0.89
K470631000,6,1,2.78,2.31
K470631000,6,2,2.31,1.93
K470631000,6,3,1.93,1.6
K470631000,6,4,1.6,1.32
K470631000,6,5,1.33,1.09
K470631000,6,6,1.08,0.88
K470999000,6,1,2.76,2.31
K470999000,6,2,2.3,1.93
K470999000,6,3,1.93,1.61
K470999000,6,4,1.6,1.32
K470999000,6,5,1.33,1.09
K470999000,6,6,1.09,0.9
K470952000,5,1,1.99,1.46
K470952000,5,2,1.46,1.09
K470952000,5,3,1.08,0.8
K470952000,5,4,0.8,0.59
K470952000,5,5,0.58,0.42
K470977000,5,1,1.96,1.46
K470977000,5,2,1.46,1.08
K470977000,5,3,1.08,0.8
K470977000,5,4,0.79,0.58
K470977000,5,5,0.58,0.42
K470324000,4,1,2.23,1.7
K470324000,4,2,1.66,1.28
K470324000,4,3,1.26,0.95
K470324000,4,4,0.94,0.7
K471266000,5,1,1.98,1.46
K471266000,5,2,1.46,1.09
K471266000,5,3,1.08,0.8
K471266000,5,4,0.8,0.58
K471266000,5,5,0.58,0.42
K471260000,6,1,1.98,1.48
K471260000,6,2,1.48,1.12
K471260000,6,3,1.12,0.85
K471260000,6,4,0.85,0.63
K471260000,6,5,0.63,0.47
K471260000,6,6,0.47,0.35
K471150000,5,1,2.04,1.49
K471150000,5,2,1.48,1.12
K471150000,5,3,1.12,0.83
K471150000,5,4,0.83,0.61
K471150000,5,5,0.61,0.44
K471250000,6,1,2.04,1.5
K471250000,6,2,1.48,1.13
K471250000,6,3,1.12,0.85
K471250000,6,4,0.85,0.63
K471250000,6,5,0.63,0.47
K471250000,6,6,0.47,0.34
K471166000,5,1,2.02,1.48
K471166000,5,2,1.46,1.09
K471166000,5,3,1.08,0.8
K471166000,5,4,0.8,0.58
K471166000,5,5,0.58,0.42
K471330000,5,1,2.05,1.54
K471330000,5,2,1.52,1.18
K471330000,5,3,1.17,0.91
K471330000,5,4,0.9,0.69
K471330000,5,5,0.69,0.53
K471587000,6,1,2.79,2.3
K471587000,6,2,2.31,1.89
K471587000,6,3,1.88,1.56
K471587000,6,4,1.55,1.28
K471587000,6,5,1.27,1.04
K471587000,6,6,1.04,0.85
K471386000,5,1,2.02,1.49
K471386000,5,2,1.48,1.11
K471386000,5,3,1.11,0.83
K471386000,5,4,0.83,0.62
K471555000,0,1,2.83,2.33
K471555000,6,2,2.29,1.9
K471555000,6,3,1.88,1.55
K471555000,6,4,1.55,1.28
K471555000,6,5,1.27,1.05
K471555000,6,6,1.05,0.86
K471496000,0,1,2.79,2.3
K471496000,6,2,2.28,1.89
K471496000,6,3,1.88,1.55
K471496000,6,4,1.54,1.27
K471496000,6,5,1.28,1.05
K471496000,6,6,1.05,0.86
K471588000,6,1,2.75,2.33
K471588000,6,2,2.3,1.91
K471588000,6,3,1.9,1.58
K471588000,6,4,1.57,1.29
K471588000,6,5,1.29,1.05
K471588000,6,6,1.06,0.86
K471640000,6,1,2.78,2.3
K471640000,6,2,2.29,1.93
K471640000,6,3,1.91,1.58
K471640000,6,4,1.57,1.29
K471640000,6,5,1.29,1.06
K471640000,6,6,1.05,0.86
K471639000,6,1,2.78,2.3
K471639000,6,2,2.29,1.91
K471639000,6,3,1.91,1.59
K471639000,6,4,1.59,1.3
K471639000,6,5,1.3,1.05
K471639000,6,6,1.06,0.87
K471637000,6,1,2.78,2.3
K471637000,6,2,2.3,1.9
K471637000,6,3,1.91,1.58
K471637000,6,4,1.57,1.29
K471637000,6,5,1.3,1.06
K471637000,6,6,1.07,0.87
K471634000,6,1,2.79,2.29
K471634000,6,2,2.29,1.91
K471634000,6,3,1.91,1.58
K471634000,6,4,1.58,1.29
K471634000,6,5,1.29,1.06
K471634000,6,6,1.06,0.86
K471590000,6,1,2.79,2.3
K471590000,6,2,2.3,1.92
K471590000,6,3,1.91,1.58
K471590000,6,4,1.58,1.29
K471590000,6,5,1.3,1.07
K471590000,6,6,1.07,0.87
K471592000,6,1,2.79,2.29
K471592000,6,2,2.29,1.91
K471592000,6,3,1.91,1.58
K471592000,6,4,1.58,1.29
K471592000,6,5,1.31,1.07
K471592000,6,6,1.07,0.87
K471591000,6,1,2.77,2.3
K471591000,6,2,2.29,1.91
K471591000,6,3,1.91,1.57
K471591000,6,4,1.58,1.3
K471591000,6,5,1.29,1.06
K471591000,6,6,1.06,0.87
K471630000,5,1,1.98,1.49
K471630000,5,2,1.46,1.09
K471630000,5,3,1.09,0.79
K471630000,5,4,0.8,0.58
K471630000,5,5,0.58,0.43
K471270000,5,1,2.05,1.47
K471270000,5,2,1.47,1.09
K471270000,5,3,1.08,0.8
K471270000,5,4,0.79,0.59
K471270000,5,5,0.58,0.42
K470959000,0,1,1.99,1.56
K470959000,6,2,1.54,1.2
K470959000,6,3,1.2,0.94
K470959000,6,4,0.94,0.73
K470959000,6,5,0.71,0.55
K470959000,6,6,0.55,0.42
K471248000,6,1,2,1.48
K471248000,6,2,1.46,1.09
K471248000,6,3,1.07,0.78
K471248000,6,4,0.78,0.58
K471248000,6,6,0.32,0.43
K471168000,5,1,2.04,1.47
K471168000,5,2,1.52,1.28
K471168000,5,3,1.08,0.8
K471168000,5,4,0.8,0.58
K471249000,5,1,2.03,1.47
K471249000,5,2,1.46,1.09
K471249000,5,3,1.08,0.8
K471249000,5,4,0.8,0.59
